listing,Brand,price,serial,condition,,weight,stock,,,,,Brand
Gibson Custom Shop 1959 Les Paul Standard Reissue Dark Bourbon Fade VOS,Gibson,"$6,499.00 ",#951563,NEW,,Weight: 8lbs 12oz,In Stock!,,,,,Gibson
Gibson Custom Shop Murphy Lab 1963 SG Special Reissue Classic White Ultra Light Aged w/Lightning Bar (Serial #407393),Gibson,"$4,899.00 ",#407393,NEW,,Weight: 6lbs 10oz,In Stock!,,,,,Gibson
Collings City Limits Brock Burst w/Lollar Humbuckers,Other,"$6,605.00 ",#CL241645,NEW,,Weight: 8lbs 3oz,In Stock!,,,,,#N/A
"Gibson Custom Shop Explorer Custom ""CME Spec"" Antique Red Sparkle VOS w/Black Stinger",Gibson,"$7,299.00 ",#CS501276,NEW,,Weight: 8lbs 7oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1957 Les Paul Custom Reissue 2-Pickup Ebony VOS (Serial #751072),Gibson,"$6,899.00 ",#751072,NEW,,Weight: 8lbs 13oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck Profile",Gibson,"$5,499.00 ",#841021,NEW,,Weight: 8lbs 15oz,In Stock!,,,,,Gibson
Gibson Custom Shop Murphy Lab 1957 Les Paul Custom Reissue 3-Pickup Ebony Light Aged w/Bigsby,Gibson,"$8,699.00 ",#751023,NEW,,Weight: 10lbs 5oz,In Stock!,,,,,Gibson
"Taylor CT5z ""The Catch"" #27 Sunburst",Other,"$3,295.00 ",#1205055102,USED,,Weight: 5lbs 6oz,In Stock!,,,,,#N/A
G&L USA Legacy White,Other,$995.00 ,#CLF56555,USED,,Weight: 7lbs 12oz,In Stock!,,,,,#N/A
Fender American Ultra Stratocaster Arctic Pearl 2022,Fender,"$1,395.00 ",#US22061280,USED,,Weight: 8lbs 3oz,In Stock!,,,,,Fender
Rickenbacker 330 Mapleglo 2023,Other,"$1,695.00 ",#03782,USED,,Weight: 7lbs 3oz,In Stock!,,,,,#N/A
PRS SE Silver Sky Piano Black 2023,Other,$550.00 ,#CTIF033550,USED,,Weight: 7lbs 1oz,In Stock!,,,,,#N/A
Greco EG-800 Shigeru Narumo Ebony 1970s,Other,$895.00 ,#N/A,VINTAGE,,Weight: 10lbs 8oz,In Stock!,,,,,#N/A
PRS SE Mark Holcomb Holcomb Blue 2020,Other,$795.00 ,#CTIC08682,USED,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
Hofner Club 50 Natural 2008,Other,"$1,595.00 ",#XXXXX,USED,,Weight: 4lbs 9oz,In Stock!,,,,,#N/A
Legator N8FXA White,Other,"$1,495.00 ",#C221095,USED,,Weight: 7lbs 5oz,In Stock!,,,,,#N/A
Danelectro '59 NOS+ Black LEFTY,Danelectro,$425.00 ,#060920,USED,,Weight: 6lbs,In Stock!,,,,,Danelectro
Gibson Les Paul Classic Cherry Sunburst 2011,Gibson,"$1,695.00 ",#106711446,USED,,Weight: 9lbs 8oz,In Stock!,,,,,Gibson
Epiphone Alex Lifeson Les Paul Custom Axcess Ruby 2022,Epiphone,$895.00 ,#22081532664,USED,,Weight: 9lbs 8oz,In Stock!,,,,,Epiphone
Ibanez RGA20P1PBCUL RGA Premium Electric Guitar Cosmic Blue Burst Low Gloss,Ibanez,"$1,699.99 ",#N/A,NEW,,,Pre-Order,,,,,Ibanez
LTD EC1000 Vintage Black 2019,Other,$795.00 ,#IW19031125,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Fender Highway 1 Stratocaster Trans Wine 2006,Fender,"$1,095.00 ",#Z6253208,USED,,Weight: 7lbs 10oz,In Stock!,,,,,Fender
Ibanez RGA21P1PBDRL RGA Premium Electric Guitar Deep Twilight Burst Low Gloss,Ibanez,"$1,599.99 ",#N/A,NEW,,,Pre-Order,,,,,Ibanez
Ibanez RGA217P1PBDRL RGA Premium 7-String Electric Guitar Deep Twilight Burst Low Gloss,Ibanez,"$1,699.99 ",#N/A,NEW,,,Pre-Order,,,,,Ibanez
PRS SE Silver Sky Black 2023,Other,$550.00 ,#CTIF035280,USED,,Weight: 7lbs 9oz,In Stock!,,,,,#N/A
Novo Serus J Charcoal Frost Light Distress w/Fralin P-90 Pickups,Other,"$3,999.00 ",#251267,NEW,,Weight: 7lbs 1oz,In Stock!,,,,,#N/A
Gibson Custom Shop 1959 Les Paul Standard Reissue Golden Poppy Burst Murphy Lab Heavy Aged,Gibson,"$9,199.00 ",#951674,NEW,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
PRS NF 53 White Doghair,Other,"$2,899.00 ",#0406347,NEW,,Weight: 6lbs 11oz,In Stock!,,,,,#N/A
Ibanez LB1BK Lari Basilio Signature Electric Guitar Black,Ibanez,"$3,249.99 ",#210003F2505607,NEW,,Weight: 7lbs 12oz,In Stock!,,,,,Ibanez
Ibanez AZ47P2KDEB AZ Premium Electric Guitar Dragon Eye Burst,Ibanez,"$1,599.99 ",#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez JS2480WH Joe Satriani Signature Electric Guitar White,Ibanez,"$3,449.99 ",#210002F2512714,NEW,,Weight: 7lbs 5oz,In Stock!,,,,,Ibanez
Ibanez AZ26P1BK AZ Premium Electric Guitar Black,Ibanez,"$1,399.99 ",#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RGT1220PBKCOL RG Premium Electric Guitar Cosmic Blue Low Gloss,Ibanez,"$1,599.99 ",#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RGMS8PBCBS RG Multi Scale 8-String Electric Guitar Cosmic Blue Starburst,Ibanez,$849.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RGD61BAM RGD Electric Guitar Black Aurora Burst Matte,Ibanez,"$1,199.99 ",#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez S520AHOBF S Standard Electric Guitar Cosmic Blue Stained Flat,Ibanez,$649.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RGMS7PBCBS RG Multi Scale 7-String Electric Guitar Cosmic Blue Starburst,Ibanez,$749.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RG460DXROM RG Standard Electric Guitar Roadster Orange Metallic,Ibanez,$549.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez S520AHABS S Standard Electric Guitar Antique Brown Stained,Ibanez,$649.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Ibanez RG460DXBLH RG Standard Electric Guitar Blue Haze,Ibanez,$549.99 ,#N/A,NEW,,,In Stock!,,,,,Ibanez
Fender Limited Edition American Vintage II '66 Jazzmaster Black,Fender,"$3,049.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
Fender Custom Shop Andy Hicks Masterbuilt '64 Fat Stratocaster Journeyman Relic w/Brazilian Rosewood Fretboard Sunburst,Fender,"$7,595.00 ",#AH0160,USED,,Weight: 8lbs,In Stock!,,,,,Fender
Gibson Custom '58 Les Paul Standard Reissue Sunburst 2024,Gibson,"$3,495.00 ",#841142,USED,,Weight: 8lbs 6oz,In Stock!,,,,,Gibson
Fender Custom Shop '68 Telecaster Custom Journeyman Relic Olympic White 2024,Fender,"$3,095.00 ",#R141550,USED,,Weight: 7lbs 8oz,In Stock!,,,,,Fender
Epiphone Les Paul Custom White 2020,Epiphone,$550.00 ,#20051524746,USED,,Weight: 9lbs 5oz,In Stock!,,,,,Epiphone
Gibson Firebird V Sunburst 2015,Gibson,"$1,995.00 ",#150036571,USED,,Weight: 7lbs 10oz,In Stock!,,,,,Gibson
Gibson Les Paul Studio White 2011,Gibson,"$1,195.00 ",#101320649,USED,,Weight: 8lbs 2oz,In Stock!,,,,,Gibson
Taylor T5z Standard White 2022,Other,"$1,595.00 ",#1207292001,USED,,Weight: 5lbs 7oz,In Stock!,,,,,#N/A
Harmony Juno Brown,Other,"$1,095.00 ",#0202046,USED,,Weight: 6lbs 8oz,In Stock!,,,,,#N/A
Epiphone Lucille Cherry 2021,Epiphone,$950.00 ,#21091537430,USED,,Weight: 9lbs,In Stock!,,,,,Epiphone
Epiphone Les Paul Standard Black 2009,Epiphone,$395.00 ,#09121508475,USED,,Weight: 8lbs 11oz,In Stock!,,,,,Epiphone
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/59 Carmelita Neck",Gibson,"$6,650.00 ",#95256,DEMO,,Weight: 8lbs 7oz,In Stock!,,,,,Gibson
Castedosa Marianna Custom Rosewood Top Aged Natural w/TS Humbuckers & Tortoise Covers,Other,"$9,190.00 ",#383,NEW,,Weight: 8lbs 1oz,In Stock!,,,,,#N/A
Novo Voltur B6 Baritone Nicotine Blonde Light Distress,Other,"$4,499.00 ",#251112,NEW,,Weight: 7lbs 11oz,In Stock!,,,,,#N/A
Suhr Custom Classic T Tangerine Freeze w/Roasted Maple Neck,Other,"$4,375.00 ",#80772,NEW,,Weight: 8lbs 1oz,In Stock!,,,,,#N/A
Heritage Standard Eagle Classic Hollow Body Antique Natural,Other,"$5,299.00 ",#AP21101,NEW,,Weight: 7lbs 13oz,In Stock!,,,,,#N/A
Epiphone Tony Iommi Signature G-400 Ebony 2015 LEFTY,Epiphone,"$1,050.00 ",#1512201001,USED,,Weight: 7lbs 1oz,In Stock!,,,,,Epiphone
Rickenbacker 620 Fireglo 2023,Other,"$1,795.00 ",#38715,USED,,Weight: 7lbs 11oz,In Stock!,,,,,#N/A
Fender American Special Stratocaster Surf Green 2015,Fender,$995.00 ,#US15010991,USED,,Weight: 8lbs 3oz,In Stock!,,,,,Fender
Fender Standard Stratocaster Sunburst 2017,Fender,$550.00 ,#MX17957609,USED,,Weight: 8lbs,In Stock!,,,,,Fender
Fender Player Telecaster Sunburst 2022,Fender,$595.00 ,#MX22183564,USED,,Weight: 7lbs 9oz,In Stock!,,,,,Fender
Rickenbacker 330 Jetglo 2008,Other,"$1,595.00 ",#04535,USED,,Weight: 7lbs 13oz,In Stock!,,,,,#N/A
Suhr Classic S HSS Firemist Gold,Other,"$2,495.00 ",#82249,USED,,Weight: 7lbs 12oz,In Stock!,,,,,#N/A
Suhr Classic JM Pro Gold 2023,Other,"$2,695.00 ",#72211,USED,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
Fender American Standard Stratocaster Black 2000,Fender,"$1,095.00 ",#Z0041063,USED,,Weight: 8lbs 1oz,In Stock!,,,,,Fender
PRS SE Custom Semi-Hollow Sunburst,Other,$495.00 ,#J10676,USED,,Weight: 6lbs 10oz,In Stock!,,,,,#N/A
Fender American Standard Stratocaster Chrome Red 2002,Fender,"$1,195.00 ",#Z2046623,USED,,Weight: 8lbs 2oz,In Stock!,,,,,Fender
LTD Eclipse '87 NT Turquoise 2021,Other,$595.00 ,#IW21100490,USED,,Weight: 8lbs 7oz,In Stock!,,,,,#N/A
LTD EC-1000T Evertune Black 2024,Other,"$1,095.00 ",#W24012998,USED,,Weight: 8lbs 11oz,In Stock!,,,,,#N/A
PRS SE Singlecut Scarlet Red 2006,Other,$550.00 ,#G15864,USED,,Weight: 7lbs 4oz,In Stock!,,,,,#N/A
Rickenbacker 330 Jetglo 1985,Other,"$2,495.00 ",#YA0034,USED,,Weight: 8lbs 1oz,In Stock!,,,,,#N/A
Fender Eric Clapton Stratocaster Olympic White 2015,Fender,"$1,295.00 ",#US15039443,USED,,Weight: 7lbs 13oz,In Stock!,,,,,Fender
Fender Artist Johnny Marr Jaguar Metallic KO 2019,Fender,"$1,695.00 ",#V1964234,USED,,Weight: 8lbs 8oz,In Stock!,,,,,Fender
Heritage Eagle Classic Sunburst 2015,Other,"$3,995.00 ",#AF23402,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Fender Eric Clapton Artist Series Stratocaster Torino Red 1988,Fender,"$1,995.00 ",#SE803511,USED,,Weight: 7lbs 13oz,In Stock!,,,,,Fender
Ibanez S570AH Black 2023,Ibanez,$450.00 ,#230113450,USED,,Weight: 8lbs 3oz,In Stock!,,,,,Ibanez
Gibson Custom Shop 1956 Les Paul Goldtop Reissue Double Gold Ultralight Back Murphy Lab Heavy Aged,Gibson,"$8,699.00 ",#65062,NEW,,Weight: 8lbs 2oz,In Stock!,,,,,Gibson
Epiphone Inspired by Gibson Custom Jeff Beck 1954 Les Paul Oxblood,Gibson,"$1,299.00 ",#N/A,NEW,,,In Stock!,,,,,Gibson
Fender Limited Edition American Vintage II '57 Stratocaster White Blonde,Fender,"$2,939.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
PRS Santana Retro Purple Mist 2023,Other,"$3,595.00 ",#0365837,USED,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
Fender American Vintage II '57 Stratocaster Sea Foam Green 2024,Fender,"$1,595.00 ",#V2444428,USED,,Weight: 7lbs 14oz,In Stock!,,,,,Fender
"Fender Custom Shop '60 Stratocaster ""Chicago Special"" Closet Classic Tahitian Coral Burst",Fender,"$3,395.00 ",#R139245,USED,,Weight: 7lbs 15oz,In Stock!,,,,,Fender
Dunable USA Cyclops Sunburst 2020,Other,"$2,495.00 ",#2339,USED,,Weight: 7lbs 2oz,In Stock!,,,,,#N/A
Warrior Isabella Natural,Other,"$1,895.00 ",#ISA910,USED,,Weight: 7lbs 10oz,In Stock!,,,,,#N/A
Gretsch G2622T Streamliner Center Block Wine Red 2018,Other,$450.00 ,#IS180800130,USED,,Weight: 6lbs 14oz,In Stock!,,,,,#N/A
Gibson Les Paul Custom Ebony 1976,Gibson,"$5,495.00 ",#00114058,VINTAGE,,Weight: 10lbs 13oz,In Stock!,,,,,Gibson
Gibson ES-135 P-100 Vintage Sunburst 1995,Gibson,"$1,995.00 ",#93355821,USED,,Weight: 8lbs 5oz,In Stock!,,,,,Gibson
Gibson Custom 60th Anniversary 1960 Les Paul Standard Reissue Cherry Sunburst 2020,Gibson,"$4,695.00 ",#00029,USED,,Weight: 9lbs 1oz,In Stock!,,,,,Gibson
PRS Silver Sky Polar Blue 2022,Other,"$1,795.00 ",#0338314,USED,,Weight: 7lbs 3oz,In Stock!,,,,,#N/A
Sterling by Music Man Fluff Artist Series StingRay Guitar Rula Thumb Red,Other,$879.99 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Sterling by Music Man Fluff Artist Series StingRay Guitar Amana Boat Blue,Other,$879.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Streamliner G2622 Center Block Double-Cut Copper Metallic w/V-Stoptail,Other,$529.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
Gretsch Streamliner G2622 Center Block Double-Cut Midnight Sapphire w/V-Stoptail,Other,$529.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
Reverend Roundhouse Jr Oxblood,Other,$999.00 ,#N/A,NEW,,,In Stock!,,,,,#N/A
Reverend Jetstream 390 LH Midnight Black,Other,"$1,149.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Reverend Greg Koch Gristle ST Transparent White,Other,"$1,799.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Reverend Greg Koch Gristlemaster Transparent White,Other,"$1,699.00 ",#N/A,NEW,,,In Stock!,,,,,#N/A
Fender Custom Shop 52 Telecaster NOS Nocaster Blonde 2014,Fender,"$2,995.00 ",#R13905,USED,,Weight: 6lbs 15oz,In Stock!,,,,,Fender
