listing,price,serial,condition,weight,stock
Gibson Custom Shop 1959 Les Paul Standard Reissue Dark Bourbon Fade VOS,"$6,499.00",Serial #951563,NEW,Weight: 8lbs 12oz,In Stock!
Gibson Custom Shop Murphy Lab 1963 SG Special Reissue Classic White Ultra Light Aged w/Lightning Bar (Serial #407393),"$4,899.00",Serial #407393,NEW,Weight: 6lbs 10oz,In Stock!
Collings City Limits Brock Burst w/Lollar Humbuckers,"$6,605.00",Serial #CL241645,NEW,Weight: 8lbs 3oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Antique Red Sparkle VOS w/Black Stinger","$7,299.00",Serial #CS501276,NEW,Weight: 8lbs 7oz,In Stock!
Gibson Custom Shop 1957 Les Paul Custom Reissue 2-Pickup Ebony VOS (Serial #751072),"$6,899.00",Serial #751072,NEW,Weight: 8lbs 13oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Green Lemon VOS w/60 V2 Neck Profile","$5,499.00",Serial #841021,NEW,Weight: 8lbs 15oz,In Stock!
Gibson Custom Shop Murphy Lab 1957 Les Paul Custom Reissue 3-Pickup Ebony Light Aged w/Bigsby,"$8,699.00",Serial #751023,NEW,Weight: 10lbs 5oz,In Stock!
"Taylor CT5z ""The Catch"" #27 Sunburst","$3,295.00",Serial #1205055102,USED,Weight: 5lbs 6oz,In Stock!
G&L USA Legacy White,$995.00,Serial #CLF56555,USED,Weight: 7lbs 12oz,In Stock!
Fender American Ultra Stratocaster Arctic Pearl 2022,"$1,395.00",Serial #US22061280,USED,Weight: 8lbs 3oz,In Stock!
Rickenbacker 330 Mapleglo 2023,"$1,695.00",Serial #03782,USED,Weight: 7lbs 3oz,In Stock!
PRS SE Silver Sky Piano Black 2023,$550.00,Serial #CTIF033550,USED,Weight: 7lbs 1oz,In Stock!
Greco EG-800 Shigeru Narumo Ebony 1970s,$895.00,Serial #N/A,VINTAGE,Weight: 10lbs 8oz,In Stock!
PRS SE Mark Holcomb Holcomb Blue 2020,$795.00,Serial #CTIC08682,USED,Weight: 7lbs 6oz,In Stock!
Hofner Club 50 Natural 2008,"$1,595.00",Serial #XXXXX,USED,Weight: 4lbs 9oz,In Stock!
Legator N8FXA White,"$1,495.00",Serial #C221095,USED,Weight: 7lbs 5oz,In Stock!
Danelectro '59 NOS+ Black LEFTY,$425.00,Serial #060920,USED,Weight: 6lbs,In Stock!
Gibson Les Paul Classic Cherry Sunburst 2011,"$1,695.00",Serial #106711446,USED,Weight: 9lbs 8oz,In Stock!
Epiphone Alex Lifeson Les Paul Custom Axcess Ruby 2022,$895.00,Serial #22081532664,USED,Weight: 9lbs 8oz,In Stock!
Ibanez RGA20P1PBCUL RGA Premium Electric Guitar Cosmic Blue Burst Low Gloss,"$1,699.99",,NEW,,Pre-Order
LTD EC1000 Vintage Black 2019,$795.00,Serial #IW19031125,USED,Weight: 7lbs 10oz,In Stock!
Fender Highway 1 Stratocaster Trans Wine 2006,"$1,095.00",Serial #Z6253208,USED,Weight: 7lbs 10oz,In Stock!
Ibanez RGA21P1PBDRL RGA Premium Electric Guitar Deep Twilight Burst Low Gloss,"$1,599.99",,NEW,,Pre-Order
Ibanez RGA217P1PBDRL RGA Premium 7-String Electric Guitar Deep Twilight Burst Low Gloss,"$1,699.99",,NEW,,Pre-Order
PRS SE Silver Sky Black 2023,$550.00,Serial #CTIF035280,USED,Weight: 7lbs 9oz,In Stock!
Novo Serus J Charcoal Frost Light Distress w/Fralin P-90 Pickups,"$3,999.00",Serial #251267,NEW,Weight: 7lbs 1oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Reissue Golden Poppy Burst Murphy Lab Heavy Aged,"$9,199.00",Serial #951674,NEW,Weight: 8lbs 9oz,In Stock!
PRS NF 53 White Doghair,"$2,899.00",Serial #0406347,NEW,Weight: 6lbs 11oz,In Stock!
Ibanez LB1BK Lari Basilio Signature Electric Guitar Black,"$3,249.99",Serial #210003F2505607,NEW,Weight: 7lbs 12oz,In Stock!
Ibanez AZ47P2KDEB AZ Premium Electric Guitar Dragon Eye Burst,"$1,599.99",,NEW,,In Stock!
Ibanez JS2480WH Joe Satriani Signature Electric Guitar White,"$3,449.99",Serial #210002F2512714,NEW,Weight: 7lbs 5oz,In Stock!
Ibanez AZ26P1BK AZ Premium Electric Guitar Black,"$1,399.99",,NEW,,In Stock!
Ibanez RGT1220PBKCOL RG Premium Electric Guitar Cosmic Blue Low Gloss,"$1,599.99",,NEW,,In Stock!
Ibanez RGMS8PBCBS RG Multi Scale 8-String Electric Guitar Cosmic Blue Starburst,$849.99,,NEW,,In Stock!
Ibanez RGD61BAM RGD Electric Guitar Black Aurora Burst Matte,"$1,199.99",,NEW,,In Stock!
Ibanez S520AHOBF S Standard Electric Guitar Cosmic Blue Stained Flat,$649.99,,NEW,,In Stock!
Ibanez RGMS7PBCBS RG Multi Scale 7-String Electric Guitar Cosmic Blue Starburst,$749.99,,NEW,,In Stock!
Ibanez RG460DXROM RG Standard Electric Guitar Roadster Orange Metallic,$549.99,,NEW,,In Stock!
Ibanez S520AHABS S Standard Electric Guitar Antique Brown Stained,$649.99,,NEW,,In Stock!
Ibanez RG460DXBLH RG Standard Electric Guitar Blue Haze,$549.99,,NEW,,In Stock!
Fender Limited Edition American Vintage II '66 Jazzmaster Black,"$3,049.99",,NEW,,Pre-Order
Fender Custom Shop Andy Hicks Masterbuilt '64 Fat Stratocaster Journeyman Relic w/Brazilian Rosewood Fretboard Sunburst,"$7,595.00",Serial #AH0160,USED,Weight: 8lbs,In Stock!
Gibson Custom '58 Les Paul Standard Reissue Sunburst 2024,"$3,495.00",Serial #841142,USED,Weight: 8lbs 6oz,In Stock!
Fender Custom Shop '68 Telecaster Custom Journeyman Relic Olympic White 2024,"$3,095.00",Serial #R141550,USED,Weight: 7lbs 8oz,In Stock!
Epiphone Les Paul Custom White 2020,$550.00,Serial #20051524746,USED,Weight: 9lbs 5oz,In Stock!
Gibson Firebird V Sunburst 2015,"$1,995.00",Serial #150036571,USED,Weight: 7lbs 10oz,In Stock!
Gibson Les Paul Studio White 2011,"$1,195.00",Serial #101320649,USED,Weight: 8lbs 2oz,In Stock!
